,Vaccination,Basic education,Life expectancy
Armenia,90,81.1,72.6
Argentina,98,98.8,74.5
Austria,86,87.8,79.3
Australia,92,95.5,80.8
Azerbaijan,75,83.9,68.7
Barbados,92,90.2,77.9
Bangladesh,93,93.7,67.8
Belgium,97,95.7,79.0
Burkina Faso,82,45.7,53.3
Bulgaria,96,94.2,72.6
Bahrain,98,89.1,75.3
Burundi,87,57.7,53.4
Benin,70,81.9,57.4
Bolivia,85,95.0,65.3
Brazil,99,94.9,71.9
"Bahamas, The",93,90.2,72.0
Bhutan,95,69.6,65.3
Botswana,96,87.7,52.1
Belarus,99,89.6,68.9
Belize,96,93.0,70.0
Central African Republic,54,47.5,44.7
"Congo, Rep.",62,51.8,55.6
Switzerland,94,93.7,81.2
Colombia,93,94.1,74.3
Cuba,89,96.6,77.7
Cabo Verde,95,95.3,70.4
Cyprus,98,99.3,78.6
Germany,96,87.0,78.9
Djibouti,71,36.1,58.0
Denmark,93,95.7,77.8
Dominican Republic,87,84.3,70.8
Algeria,88,93.1,73.1
Ecuador,92,96.0,74.1
Estonia,96,93.8,72.6
"Egypt, Arab Rep.",98,89.1,69.4
Eritrea,96,82.5,58.7
Spain,96,99.7,80.2
Ethiopia,44,60.4,56.2
Finland,97,97.2,78.8
France,98,98.6,80.2
United Kingdom,91,98.8,79.0
Grenada,99,93.2,73.1
Georgia,82,92.8,70.5
Ghana,84,63.7,58.7
"Gambia, The",95,62.8,57.9
Guinea,59,62.9,53.2
Greece,96,95.8,79.2
Guatemala,87,90.8,69.8
Honduras,98,82.8,72.0
Croatia,96,90.4,75.2
Hungary,99,89.4,72.6
Indonesia,72,88.9,67.3
Ireland,90,94.8,78.9
Israel,93,97.5,80.2
"Iran, Islamic Rep.",95,95.3,71.9
Iceland,95,96.8,81.5
Italy,95,98.4,80.8
Jordan,95,89.9,72.6
Kenya,76,69.6,54.7
Kyrgyz Republic,98,87.7,68.0
"Korea, Rep.",96,99.4,78.2
Kuwait,99,92.7,73.5
Kazakhstan,98,91.1,65.9
Lao PDR,49,81.1,61.6
St. Lucia,95,91.8,74.1
Sri Lanka,99,97.2,74.7
Lesotho,89,83.8,42.7
Lithuania,94,95.7,71.3
Luxembourg,99,96.3,79.4
Morocco,98,86.7,71.7
Moldova,98,91.0,67.8
North Macedonia,97,87.7,74.0
Mali,77,56.7,52.1
Myanmar,73,88.8,61.6
Mongolia,99,87.9,65.1
Mauritania,71,72.5,61.3
Mauritius,97,96.0,72.4
Maldives,98,97.3,73.6
Malawi,93,97.8,47.8
Mexico,98,97.9,75.3
Malaysia,96,99.6,73.6
Mozambique,80,75.4,50.4
Namibia,86,90.4,50.9
Niger,45,41.3,53.4
Nigeria,36,66.9,48.3
Nicaragua,86,92.5,71.2
Netherlands,96,98.1,79.3
Norway,91,98.5,80.0
Panama,92,97.6,75.9
Peru,77,96.6,72.9
Philippines,89,88.6,69.1
Pakistan,63,63.4,64.0
Poland,99,93.1,75.0
Portugal,93,98.0,78.1
Paraguay,96,94.0,71.7
Qatar,97,95.0,78.3
Romania,97,95.1,71.9
Serbia,98,99.7,72.8
Solomon Islands,89,75.4,69.2
Seychelles,99,95.5,72.1
Sweden,98,95.4,80.5
Slovenia,95,97.4,77.6
Slovak Republic,99,83.0,73.9
Senegal,84,64.7,60.6
Suriname,83,82.6,68.9
Sao Tome and Principe,97,95.0,64.7
El Salvador,89,94.4,70.1
Syrian Arab Republic,80,92.6,74.4
Togo,82,89.4,54.6
Tajikistan,84,97.7,66.1
Tunisia,98,98.7,74.2
Tonga,99,98.8,69.8
Turkey,90,97.8,72.4
Trinidad and Tobago,95,88.7,70.7
Tanzania,90,90.9,54.3
Ukraine,96,89.5,68.0
United States,96,94.8,77.5
Uruguay,96,97.3,75.8
St. Vincent and the Grenadines,99,96.0,71.3
"Venezuela, RB",87,90.7,72.9
Vietnam,95,90.7,74.1
Vanuatu,68,98.9,68.4
"Yemen, Rep.",79,76.7,63.5
South Africa,81,88.6,53.4
Zambia,82,89.7,48.5
